SID,SName,Count,CV_Mean,CV_Best,CV_Worst,R2_Train,MAE_Train,RMSE_Train,R2_Test_All,MAE_Test_All,RMSE_Test_All,R2_Test_NFI6,MAE_Test_NFI6,RMSE_Test_NFI6,R2_Test_NFI7,MAE_Test_NFI7,RMSE_Test_NFI7,Par0,Par1,Par2,Par3,XGB_R2,XGB_MAE,XGB_RMSE,RF_R2,RF_MAE,RF_RMSE,,diff
45,포플러,"(123, 219)",0.13542866,0.158572633,0.107622884,0.125305236,0.099889118,0.120675065,0.079708747,0.083926089,0.108523577,0.139351314,0.08300974,0.110098776,0,0.087341573,0.10243921,-4.541256185,1.328221463,-0.09387349,1.510381525,0,0.111732198,0.141727501,0,0.328853289,0.134404516,,-0.13542866
46,벚나무,"(1216, 2495)",0.041929614,0.046354501,0.034770991,0.041067742,0.107817715,0.131997605,0.002601536,0.112663095,0.138272462,0,0.120013328,0.145714912,0.007489454,0.109086244,0.134501855,-0.591302143,0.270965262,-0.021401202,0.570183183,0.150385489,0.102840989,0.127076705,0.117977392,0.322887977,0.129477661,,0.108455875
47,느티나무,"(200, 399)",0.118448351,0.126747345,0.110498154,0.115779053,0.103260862,0.126519354,0.091957375,0.109310876,0.134232429,0,0.115965204,0.14155018,0.12973967,0.105983712,0.130419672,-1.087800139,0.425211888,-0.024375474,0.553395457,0.212854687,0.0963237,0.114931627,0.214282812,0.30995566,0.114827319,,0.094406336
48,층층나무,"(659, 1476)",0.028454939,0.03142304,0.02459829,0.026661038,0.10210144,0.126743369,0.0371062,0.105991791,0.132094499,0.010211766,0.112140254,0.136384788,0.048789387,0.103237501,0.130126738,-1.207742241,0.410477282,-0.038197939,0.79652107,0.066864027,0.100603838,0.126179876,0.1023324,0.314077402,0.123758605,,0.038409088
49,아까시나무,"(1697, 3433)",0.03007651,0.032441034,0.027004314,0.029878467,0.100215694,0.125128487,0.024329152,0.102254515,0.127631556,0.026400663,0.107288815,0.135072556,0.021998878,0.099761803,0.123781714,-2.673364337,0.783810763,-0.054701936,1.074722519,0.124396545,0.094679982,0.118019201,0.139103095,0.305265776,0.117023885,,0.094320035
61,가시나무,"(88, 160)",0.138860428,0.17293973,0.077518445,0.128144231,0.117215867,0.144712153,0.067901564,0.110787747,0.141668159,0.052527054,0.116057632,0.149228699,0.157473553,0.091464835,0.10957021,-4.233193757,1.316743538,-0.114024215,1.710872104,0.348365691,0.093859118,0.116577842,0.359329085,0.310526157,0.115593002,,0.209505263
62,구실잣밤나무,"(14, 55)",0.367778814,0.502247522,0.286792188,0.306650122,0.099548424,0.124013032,0.338360541,0.080801991,0.099531796,,,,0.338360541,0.080801991,0.099531796,-4.274899069,1.383350344,-0.091261267,1.220946152,0.486736187,0.088131122,0.111931517,0.462698532,0.315799517,0.114522568,,0.10648242
64,굴거리나무,"(25, 38)",0.134577532,0.215610357,0.080406365,0.09326962,0.126697882,0.145108185,0.248305615,0.110566877,0.131330273,0.227346124,0.115235779,0.135231282,0.293367078,0.091113117,0.113643718,7.781277437,-2.159243983,0.204141544,-2.103250562,0,0.13438464,0.171313133,0,0.357519824,0.158960093,,-0.134577532
65,황칠나무,"(3, 6)",,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,사스레피나무,"(47, 83)",0.052969733,0.071353775,0.019266023,0.039662863,0.099165783,0.120808264,0.010349902,0.100316134,0.128400333,4.93E-05,0.091568299,0.120847856,0.018954795,0.134578489,0.154465335,-3.248588508,1.238403157,-0.110146524,1.270114513,0.39190759,0.064134672,0.085176979,0.183295057,0.269229503,0.098712018,,0.338937857
67,후박나무,"(5, 19)",,,,,,,,,,,,,,,,,,,,,,,,,,,0
68,새덕이,"(52, 85)",0.064723769,0.077022622,0.046070531,0.054856156,0.091550415,0.113738678,0.0658984,0.112228725,0.123698551,,,,0.0658984,0.112228725,0.123698551,0.593753066,-0.034514093,0.000271801,0.232381673,0,0.083571819,0.109261365,0,0.282090677,0.107548324,,-0.076878603
,,,,,,,,,,,,,,,,,,,,,,,,,,,,평균,0.084029157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,min,-0.13542866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,max,0.338937857
