,SID,SName,Count,CV_Mean,CV_Best,CV_Worst,R2_Train,MAE_Train,RMSE_Train,R2_Test_All,MAE_Test_All,RMSE_Test_All,R2_Test_NFI6,MAE_Test_NFI6,RMSE_Test_NFI6,R2_Test_NFI7,MAE_Test_NFI7,RMSE_Test_NFI7,Par0,Par1,Par2,Par3
10,20,비자나무,"(4, 3)",,,,,,,,,,,,,,,,,,,
11,21,은행나무,"(3, 34)",0.0,0.34325687987090503,0.0,0.4784834809087759,0.0815845163167883,0.09727926410351986,0.0,0.10167274784091819,0.11797406613006137,0.0,0.14689265427652268,0.15091450380178098,0.13269122407149392,0.056452841405313724,0.07113770519761246,-0.6604437734146019,-0.4607995106200239,0.950016074342236,-0.4819915464632151
12,30,기타활엽수,"(6773, 14383)",0.04072523190265707,0.04249962333884416,0.039662225851123445,0.04067757051168275,0.1063933249722476,0.13141782415042233,0.05319699732521965,0.10502760003013428,0.12918224779031542,0.044420748951732425,0.107899893756027,0.132534352077726,0.05385519109771342,0.10367534491717925,0.12757361020136498,-0.6750885253828034,-0.0907046407850254,0.3914097519128675,-0.1198959753940993
13,31,상수리나무,"(2037, 4602)",0.11853882828582638,0.1239575445970672,0.11161811630719509,0.11836162982644882,0.09897805214675134,0.12347376416379383,0.11348224590218936,0.10370392912925079,0.12973125137697314,0.07804019362783021,0.10366621064606502,0.13069764429447278,0.1283473743053577,0.10372065645657667,0.12930036529375497,-0.3242819909233161,-0.44373091068868026,0.6224583011238771,-0.2436424236723557
14,32,신갈나무,"(6753, 16935)",0.08431374431401077,0.08641577360086428,0.08180258070188717,0.08421894633203708,0.1056865149505951,0.1304239277905437,0.08319137116200448,0.10717218221929897,0.13240691257663656,0.08767816501866466,0.10743309662902444,0.1332870031831643,0.0784604911175083,0.10706821691436114,0.13205459290214794,-0.6420315500821028,0.2712803281645434,0.19332234466493106,-0.08489250815956663
15,33,굴참나무,"(5210, 13133)",0.1350894762982455,0.136593692866812,0.13205208981211958,0.1349759031010629,0.09793717416725609,0.12173002901737823,0.1525923883566328,0.09621099926074805,0.11990420505398293,0.14910655787186045,0.09759195746658003,0.12221000557625214,0.15094673707665085,0.09566303336186117,0.11897687731084229,-1.3322634050329882,-0.022827487507319565,0.680054865077597,-0.20300898218775307
16,34,기타참나무류,"(3523, 8426)",0.08585008341319351,0.08876584154588707,0.08382640345270853,0.08564555473671553,0.10196441223728928,0.12639048088567012,0.10534854522605319,0.09963669466385874,0.12337950122181277,0.08300020685564258,0.10333773458007607,0.1281149416903648,0.11299755524520783,0.0980913019586292,0.12134750938884654,-1.314784454513097,0.1381218515870744,0.4456902689068438,-0.12214054078561012
17,35,오리나무,"(558, 1224)",0.05956613513839515,0.06867032605365797,0.04847148318413341,0.057074927240518214,0.10178487514354839,0.126725790750755,0.07444750222643359,0.10199595618065596,0.13294683434514803,0.11752132593326836,0.09770521034622279,0.1274582172460273,0.055607571010477086,0.10396547885875641,0.13539171390452384,-0.10991636850750994,-0.18895547716289024,0.34769564816329845,-0.15945045998185114
18,36,고로쇠나무,"(537, 1179)",0.0,0.05979399142377051,0.0,0.05499611542143046,0.1051919262741373,0.13001636612111422,0.030642920151892628,0.10023419291630768,0.12188945836822833,0.0,0.11227072380316382,0.13471590201146008,0.049353755961633494,0.0947259499680854,0.11554581895443773,0.091648047340244,-0.21753957099111235,0.2511182387617733,-0.1368571611396492
19,37,자작나무,"(151, 319)",0.02939772607969311,0.039237643938672795,0.01781672866222128,0.01917876060261592,0.10549905720875825,0.12896561720002148,0.0,0.11531411537924516,0.13777806463393935,0.0,0.1210290115741405,0.1434849970170247,0.005899854659711434,0.08834694895958281,0.1068105657427003,-0.30529383651264014,-0.582373163878129,0.641141906384744,-0.2358533834777276
20,38,박달나무,"(577, 1328)",0.06660743620316864,0.07818452820311728,0.05632707872497367,0.06544346884706231,0.10303087383787976,0.12731378448279554,0.05303499009973278,0.09930115851904527,0.12271457309239395,0.031103040594225306,0.10364971951686357,0.12639680223833233,0.05239267002315895,0.09740479357262824,0.1210737269350383,0.15107957469204028,-0.09923568007389923,0.17912911179980825,-0.1122861697189261
21,39,밤나무,"(1913, 4005)",0.0,0.0,0.0,0.0,0.47906210238255226,0.49732406063267937,0.0,0.47234060644485465,0.4906608062316448,0.0,0.467182990930052,0.4839312134711829,0.0,0.4748033678531729,0.4938418388568159,-190.39633383962152,-89.30944260015734,-73.09111029036944,-116.78987010320452
22,40,물푸레나무,"(988, 2169)",0.032128189607862276,0.035388591388241575,0.02666120183039533,0.03133614492793435,0.1045070749011044,0.12979278332843275,0.0299153900890754,0.10296918297170739,0.1273604397246716,0.0,0.10852932305363326,0.13272185412297707,0.04798824027796211,0.10043252920161218,0.12483798573631637,-0.4409472010714384,0.15179304119683754,0.1278672145669868,-0.05534077229460908
23,41,서어나무,"(653, 1652)",0.0,0.11421060977763453,0.0,0.10866446159329568,0.10035379746571087,0.12414957868986726,0.05712670116790963,0.10403937187943348,0.12828740246102543,0.0,0.1090327706441919,0.13178795602596316,0.10319813634924246,0.10207227539634682,0.12688188272342493,0.39939865935708324,0.038566746920989936,0.009325501220680009,-0.10606881492336957
24,42,때죽나무,"(667, 1531)",0.053266582015574326,0.05603702486097639,0.04596119518402575,0.05220964002528583,0.10316995798965364,0.12807419091387232,0.08789559731045948,0.10348255030180156,0.1282286467748337,0.029491094680043406,0.09875303664239297,0.12425414167829991,0.10920401032397531,0.10555364451866676,0.1299308449115575,-0.3639958300679603,-0.04329276622459535,0.3155067153227634,-0.1535549159478257
25,43,호두나무,"(257, 476)",0.03670002594752468,0.04918103405677632,0.023999236575014016,0.033003946065175316,0.10827094511079226,0.1323037728892861,0.0,0.11915671538963632,0.1396751459036294,0.0,0.12484016120476776,0.14766336938168267,0.0,0.11607818223977351,0.1351511958319643,-0.5814420330075463,-0.1958665870505399,0.43495223736836575,-0.1191928027096193
